property_id,title,price_aed,beds,baths,area_sqft,property_type,city,community,handover_date,developer,status,image_url,detail_url,amenities,is_active,description
PROP-0001,Apartment at Dubai Hills #1,1395000.0,1,1.2,866.0,Apartment,Dubai,Dubai Hills,2026-04-08,Emaar,off_plan,https://picsum.photos/seed/prop-0001/960/640,https://example-properties.local/prop-0001,"concierge,pool,waterfront",True,"Apartment in Dubai Hills, Dubai. Developed by Emaar. Suitable for long-term investment."
PROP-0002,Studio at Palm Jumeirah #2,1067000.0,1,1.1,1060.0,Studio,Dubai,Palm Jumeirah,2028-03-07,Sobha,off_plan,https://picsum.photos/seed/prop-0002/960/640,https://example-properties.local/prop-0002,"beach,gym,park,pool,waterfront",True,"Studio in Palm Jumeirah, Dubai. Developed by Sobha. Suitable for long-term investment."
PROP-0003,Apartment at Business Bay #3,1468000.0,1,1.0,937.0,Apartment,Dubai,Business Bay,2028-10-07,Aldar,ready,https://picsum.photos/seed/prop-0003/960/640,https://example-properties.local/prop-0003,"beach,gym,park,pool,school,waterfront",True,"Apartment in Business Bay, Dubai. Developed by Aldar. Suitable for long-term investment."
PROP-0004,Apartment at Dubai Hills #4,1731000.0,1,1.2,1157.0,Apartment,Dubai,Dubai Hills,2028-04-22,DAMAC,ready,https://picsum.photos/seed/prop-0004/960/640,https://example-properties.local/prop-0004,"beach,gym,metro,park,school,waterfront",True,"Apartment in Dubai Hills, Dubai. Developed by DAMAC. Suitable for long-term investment."
PROP-0005,Apartment at Business Bay #5,3158000.0,5,5.1,2378.0,Apartment,Dubai,Business Bay,2026-06-13,Sobha,off_plan,https://picsum.photos/seed/prop-0005/960/640,https://example-properties.local/prop-0005,"gym,metro,pool,waterfront",True,"Apartment in Business Bay, Dubai. Developed by Sobha. Suitable for long-term investment."
PROP-0006,Apartment at Business Bay #6,2000000.0,2,2.4,1501.0,Apartment,Dubai,Business Bay,2028-12-19,DAMAC,off_plan,https://picsum.photos/seed/prop-0006/960/640,https://example-properties.local/prop-0006,"concierge,gym,metro,park,school,waterfront",True,"Apartment in Business Bay, Dubai. Developed by DAMAC. Suitable for long-term investment."
PROP-0007,Studio at JVC #7,2064000.0,4,3.9,1928.0,Studio,Dubai,JVC,2027-11-14,Sobha,off_plan,https://picsum.photos/seed/prop-0007/960/640,https://example-properties.local/prop-0007,"concierge,gym,metro",True,"Studio in JVC, Dubai. Developed by Sobha. Suitable for long-term investment."
PROP-0008,Apartment at Palm Jumeirah #8,3277000.0,4,3.9,2227.0,Apartment,Dubai,Palm Jumeirah,2028-11-11,Nakheel,ready,https://picsum.photos/seed/prop-0008/960/640,https://example-properties.local/prop-0008,"gym,metro,school",True,"Apartment in Palm Jumeirah, Dubai. Developed by Nakheel. Suitable for long-term investment."
PROP-0009,Villa at Dubai Marina #9,6118000.0,4,3.7,2375.0,Villa,Dubai,Dubai Marina,2027-03-12,Meraas,off_plan,https://picsum.photos/seed/prop-0009/960/640,https://example-properties.local/prop-0009,"gym,metro,park,waterfront",True,"Villa in Dubai Marina, Dubai. Developed by Meraas. Suitable for long-term investment."
PROP-0010,Studio at Downtown Dubai #10,2040000.0,5,5.4,2599.0,Studio,Dubai,Downtown Dubai,2026-12-16,Emaar,ready,https://picsum.photos/seed/prop-0010/960/640,https://example-properties.local/prop-0010,"beach,gym,pool,school,waterfront",True,"Studio in Downtown Dubai, Dubai. Developed by Emaar. Suitable for long-term investment."
PROP-0011,Studio at Dubai Marina #11,1213000.0,2,1.6,1419.0,Studio,Dubai,Dubai Marina,2028-08-17,Aldar,off_plan,https://picsum.photos/seed/prop-0011/960/640,https://example-properties.local/prop-0011,"beach,gym,metro,park,school,waterfront",True,"Studio in Dubai Marina, Dubai. Developed by Aldar. Suitable for long-term investment."
PROP-0012,Apartment at JVC #12,1818000.0,2,1.7,1438.0,Apartment,Dubai,JVC,2026-04-03,DAMAC,off_plan,https://picsum.photos/seed/prop-0012/960/640,https://example-properties.local/prop-0012,"gym,metro,waterfront",True,"Apartment in JVC, Dubai. Developed by DAMAC. Suitable for long-term investment."
PROP-0013,Villa at Dubai Marina #13,3988000.0,1,1.0,985.0,Villa,Dubai,Dubai Marina,2026-11-14,Nakheel,off_plan,https://picsum.photos/seed/prop-0013/960/640,https://example-properties.local/prop-0013,"beach,concierge,gym,metro,pool,waterfront",True,"Villa in Dubai Marina, Dubai. Developed by Nakheel. Suitable for long-term investment."
